identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
0,0,4,0.0035092830657958984,6,64,True
1,0,4,0.004003286361694336,6,64,True
2,0,5,0.004004240036010742,6,64,True
3,0,5,0.0040035247802734375,4,64,True
4,0,4,0.003322124481201172,6,64,True
5,0,5,0.004290342330932617,4,64,True
6,0,6,0.003971099853515625,4,64,True
7,0,5,0.0030024051666259766,4,64,True
8,0,4,0.0030024051666259766,6,64,True
9,0,4,0.0030028820037841797,6,64,True
10,0,4,0.0040035247802734375,6,64,True
12,0,4,0.0032720565795898438,6,64,True
11,0,5,0.0042650699615478516,6,64,True
13,0,6,0.004266023635864258,4,64,True
14,0,6,0.003995656967163086,4,64,True
15,0,4,0.004004001617431641,6,64,True
16,0,6,0.005004167556762695,4,64,True
18,0,5,0.004003763198852539,6,64,True
20,0,4,0.0040035247802734375,6,64,True
17,0,5,0.0050048828125,4,64,True
19,0,6,0.004003286361694336,4,64,True
22,0,5,0.004004478454589844,4,64,True
23,0,5,0.0040035247802734375,4,64,True
24,0,5,0.0030028820037841797,4,64,True
25,0,4,0.004002809524536133,6,64,True
26,0,4,0.0050046443939208984,6,64,True
21,0,6,0.007006406784057617,4,64,True
30,0,5,0.003515481948852539,4,64,True
27,0,4,0.003515481948852539,6,64,True
29,0,4,0.0035109519958496094,4,64,True
28,0,5,0.006512641906738281,4,64,True
33,0,4,0.003510713577270508,6,64,True
34,0,4,0.003510713577270508,6,64,True
35,0,6,0.00451207160949707,4,64,True
31,0,5,0.00451207160949707,4,64,True
32,0,6,0.006513833999633789,4,64,True
36,0,4,0.003999233245849609,6,64,True
38,0,6,0.003999233245849609,4,64,True
40,0,6,0.004003763198852539,4,64,True
39,0,4,0.0040035247802734375,6,64,True
37,0,6,0.006000518798828125,4,64,True
43,0,4,0.003002166748046875,6,64,True
42,0,6,0.004003763198852539,4,64,True
45,0,4,0.004003763198852539,6,64,True
44,0,6,0.0040035247802734375,4,64,True
46,0,6,0.005004167556762695,4,64,True
51,0,6,0.004003286361694336,4,64,True
47,0,6,0.0051958560943603516,4,64,True
48,0,4,0.004195451736450195,6,64,True
50,0,4,0.0051958560943603516,4,64,True
49,0,6,0.006005048751831055,4,64,True
54,0,4,0.004003047943115234,6,64,True
60,0,4,0.0040035247802734375,6,64,True
59,0,6,0.0040035247802734375,4,64,True
52,0,5,0.0040035247802734375,4,64,True
53,0,4,0.0040035247802734375,4,64,True
56,0,4,0.005004167556762695,6,64,True
61,0,4,0.004003763198852539,6,64,True
55,0,4,0.006005048751831055,6,64,True
62,0,5,0.003002643585205078,6,64,True
57,0,5,0.005004405975341797,6,64,True
58,0,4,0.006005525588989258,6,64,True
64,0,4,0.0038123130798339844,6,64,True
63,0,4,0.0038123130798339844,6,64,True
41,2,8,0.011009931564331055,4,64,True
67,0,4,0.0040035247802734375,6,64,True
65,0,4,0.0040035247802734375,6,64,True
69,0,5,0.003002643585205078,4,64,True
70,0,6,0.004003763198852539,4,64,True
71,0,4,0.004003763198852539,6,64,True
68,0,4,0.004003763198852539,4,64,True
72,0,6,0.004003763198852539,4,64,True
66,0,4,0.0050046443939208984,6,64,True
74,0,4,0.004003047943115234,6,64,True
75,0,4,0.004003047943115234,6,64,True
73,0,6,0.004003047943115234,4,64,True
76,0,6,0.004003047943115234,4,64,True
78,0,4,0.004003286361694336,6,64,True
77,0,5,0.004003286361694336,4,64,True
81,0,4,0.0035140514373779297,4,64,True
83,0,6,0.0035140514373779297,4,64,True
84,0,4,0.004509449005126953,6,64,True
82,0,4,0.004509449005126953,6,64,True
86,0,5,0.003509044647216797,6,64,True
87,0,4,0.003509044647216797,6,64,True
85,0,6,0.004509449005126953,4,64,True
88,0,4,0.003509044647216797,6,64,True
90,0,5,0.004510402679443359,4,64,True
93,0,5,0.003509521484375,6,64,True
79,0,6,0.0065119266510009766,4,64,True
94,0,4,0.004511117935180664,6,64,True
92,0,6,0.004511117935180664,4,64,True
80,0,5,0.00651240348815918,4,64,True
89,0,4,0.0055119991302490234,6,64,True
91,0,6,0.004511117935180664,4,64,True
95,0,6,0.003999948501586914,4,64,True
97,0,4,0.0030045509338378906,6,64,True
96,0,6,0.0030045509338378906,4,64,True
98,0,6,0.0030045509338378906,4,64,True
99,0,6,0.004004478454589844,4,64,True
